OBJECTID,IMPMAPID,IMP_PROP,BIKE_NAME,BIKESTATUS,ADDDATE,MODDATE,SDATE,SOURCE,SACC,Shape__Length
1581,IMPMAP281,Protected Bike Lane,Hollis St Protected Bike Lane,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,162.5982271
1582,IMPMAP282,Protected Bike Lane,Hollis St Protected Bike Lane,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,109.4947333
1583,IMPMAP284,Protected Bike Lane,Hollis St Protected Bike Lane,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,205.333381
1584,IMPMAP285,Protected Bike Lane,Cogswell Greenway Cycle Track,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,34.00628146
1585,IMPMAP286,Protected Bike Lane,Hollis St Protected Bike Lane,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,161.6972929
1586,IMPMAP291,Protected Bike Lane,Macdonald Bridge Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,59.88643069
1587,IMPMAP288,Protected Bike Lane,University-Morris Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,149.7690393
1588,IMPMAP289,Local Street Bikeway,North End AAA Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,249.1266591
1589,IMPMAP290,Protected Bike Lane,Macdonald Bridge Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,109.3620597
1590,IMPMAP292,Protected Bike Lane,Macdonald Bridge Bikeway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,870.3442753
1591,IMPMAP293,Protected Bike Lane,Macdonald Bridge Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,39.24768016
1592,IMPMAP294,Protected Bike Lane,Macdonald Bridge Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,97.03050148
1593,IMPMAP295,Local Street Bikeway,Lyle-Shore Local Street Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,123.7255826
1594,IMPMAP296,Local Street Bikeway,Lyle-Shore Local Street Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,233.9861884
1595,IMPMAP297,Protected Bike Lane,Macdonald Bridge Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,130.8451719
1596,IMPMAP299,Multi-use Pathway,St Pats Connector Multi-Use Pathway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,127.6705576
1597,IMPMAP300,Protected Bike Lane,University-Morris Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,222.2076536
1598,IMPMAP301,Protected Bike Lane,University-Morris Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,203.3567921
1599,IMPMAP302,Protected Bike Lane,University-Morris Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,204.0145895
1600,IMPMAP303,Protected Bike Lane,University-Morris Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,223.7986612
1601,IMPMAP304,Multi-use Pathway,Barrington Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,1064.449931
1602,IMPMAP305,Multi-use Pathway,Halifax Urban Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,1291.423798
1603,IMPMAP287,Protected Bike Lane,Hollis St Protected Bike Lane,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,163.9185905
1604,IMPMAP309,Multi-use Pathway,Dartmouth Harbourfront Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,2483.44154
1605,IMPMAP306,Multi-use Pathway,Burnside Connector Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,963.9471368
1606,IMPMAP307,Multi-use Pathway,Dartmouth Harbourfront Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,386.4863936
1607,IMPMAP308,Multi-use Pathway,Dartmouth Harbourfront Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,215.6286109
1608,IMPMAP310,Multi-use Pathway,Baker Drive Multi-Use Pathway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,1636.014189
1609,IMPMAP311,Multi-use Pathway,Chain of Lakes Trail,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,10339.92921
1610,IMPMAP312,Local Street Bikeway,Stuart Graham Local Street Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,14.48290948
1611,IMPMAP316,Multi-use Pathway,Dartmouth Multi-Use Trail,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:59.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,2934.112916
1612,IMPMAP313,Multi-use Pathway,Burnside Connector Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,225.6072729
1613,IMPMAP314,Local Street Bikeway,Leaman Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,75.81337058
1614,IMPMAP317,Multi-use Pathway,Dartmouth Harbourfront Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:59.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,235.1369324
1615,IMPMAP318,Multi-use Pathway,Dartmouth Common Pathways,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,236.19708
1616,IMPMAP320,Multi-use Pathway,Dartmouth Multi-Use Trail,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,991.6550294
1617,IMPMAP321,Multi-use Pathway,Dartmouth Multi-Use Trail,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,771.7640783
1618,IMPMAP322,Multi-use Pathway,Dartmouth Multi-Use Trail,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,31.83288752
1619,IMPMAP323,Local Street Bikeway,Slayter Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,61.60915254
1620,IMPMAP324,Local Street Bikeway,Slayter Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,374.2234474
1621,IMPMAP325,Local Street Bikeway,Dahlia Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,231.9054926
1622,IMPMAP326,Multi-use Pathway,Dartmouth Multi-Use Trail,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,101.6259745
1623,IMPMAP327,Local Street Bikeway,Dahlia Local Street Bikeway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,135.6204957
1624,IMPMAP328,Multi-use Pathway,Dartmouth Common Pathways,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,449.6637554
1625,IMPMAP332,Multi-use Pathway,Victoria Rd AT Overpass,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,201.5906789
1626,IMPMAP329,Multi-use Pathway,Dartmouth Common Pathways,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,309.3670165
1627,IMPMAP330,Multi-use Pathway,Burnside Connector Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,140.4076217
1628,IMPMAP331,Multi-use Pathway,Burnside Connector Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,567.6892721
1629,IMPMAP333,Local Street Bikeway,Lyle-Shore Local Street Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,185.441639
1630,IMPMAP334,Multi-use Pathway,Penhorn Greenway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,904.0130292
1631,IMPMAP335,Multi-use Pathway,Bayers Rd Bikeway,In Design,2019-04-29T12:34:10.000Z,2019-04-29T12:39:56.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,290.2200899
1632,IMPMAP336,Local Street Bikeway,George Dauphinee Local Street Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:59.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,223.8519246
1633,IMPMAP337,Protected Bike Lane,Dalhousie Studley Campus Bikeway Connection,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,510.1741014
1634,IMPMAP338,Protected Bike Lane,Rainnie Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,117.7389031
1635,IMPMAP339,Protected Bike Lane,Rainnie Protected Bike Lanes,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,30.42296432
1636,IMPMAP341,Protected Bike Lane,Welsford Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,27.62646231
1637,IMPMAP342,Protected Bike Lane,Quingate Place Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,34.68123035
1638,IMPMAP343,Protected Bike Lane,Upper Water St Bikeway aka Cogswell District Bikeways,In Design,2019-04-29T12:34:10.000Z,2019-04-29T12:39:55.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,30.35856993
1639,IMPMAP344,Protected Bike Lane,North End AAA Bikeway,In Planning,2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,184.1157535
1640,IMPMAP345,Multi-use Pathway,Woodside Ferry Terminal Connector,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,195.503474
1641,IMPMAP346,Multi-use Pathway,Shubie Canal Greenway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,473.9262816
1642,IMPMAP347,Multi-use Pathway,Shubie Canal Greenway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,672.7373698
1643,IMPMAP348,Multi-use Pathway,Shubie Canal Greenway,Pending/Proposed,2019-04-29T12:34:10.000Z,2019-04-29T12:39:58.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,534.9437995
1644,IMPMAP349,Multi-use Pathway,Shubie Canal Greenway,Complete (AAA),2019-04-29T12:34:10.000Z,2019-04-29T12:39:57.000Z,2019-04-29T00:00:00.000Z,TPW PP&D,Interactive,1339.31586
